"distrito","cod_actividad","categoria","subcategoria","actividad","estado"
"RM 2",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2","Condicionado"
"RM 3",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2","Prohibido"
"RM 4",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2","Prohibido"
"RM 5",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2","Prohibido"
"CC 1",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2","Condicionado"
"CC 2",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2","Prohibido"
"CC 3",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2","Permitido"
"CC 4",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2","Remitirse a Ficha de Distrito"
"CC 5",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2","Remitirse a Ficha de Distrito"
"CC6",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2","Prohibido"
"AC 1",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2","Condicionado"
"AC 2",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2","Condicionado"
"AC 3",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2","Condicionado"
"AC 4",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2","Prohibido"
"PIU",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2",NULL
"EE",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2",NULL
"PI",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2",NULL
"PARQUE ACTIVO",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2","Prohibido"
"PARQUE PASIVO",NULL,"Comercial","Minorista de Comestible y art. asociados","Gran Escala >2500 m2","Prohibido"
"DSA SL",NULL,"Comercial","Minoristas Comestibles y Artículos Asociados","Gran Escala >2500 m2","Prohibido"
"DSA AN1",NULL,"Comercial","Minoristas Comestibles y Artículos Asociados","Gran Escala >2500 m2","Prohibido"
"DSA AN2",NULL,"Comercial","Minoristas Comestibles y Artículos Asociados","Gran Escala >2500 m2","Prohibido"
"DSA Sur",NULL,"Comercial","Minoristas Comestibles y Artículos Asociados","Gran Escala >2500 m2","Prohibido"
"DSA Oeste",NULL,"Comercial","Minoristas Comestibles y Artículos Asociados","Gran Escala >2500 m2","Prohibido"
"RN",NULL,"Comercial","Minoristas Comestibles y Artículos Asociados","Gran Escala >2500 m2","Prohibido"
"PN",NULL,"Comercial","Minoristas Comestibles y Artículos Asociados","Gran Escala >2500 m2","Prohibido"
"FU",NULL,"Comercial","Minoristas Comestibles y Artículos Asociados","Gran Escala >2500 m2","Prohibido"
"NA",NULL,"Comercial","Minoristas Comestibles y Artículos Asociados","Gran Escala >2500 m2",NULL
"IUS",NULL,"Comercial","Minoristas Comestibles y Artículos Asociados","Gran Escala >2500 m2",NULL
"RM 1",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Permitido"
"RM 2",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Permitido"
"RM 3",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Permitido"
"RM 4",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Permitido"
"RM 5",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Permitido"
"CC 1",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Permitido"
"CC 2",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Permitido"
"CC 3",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Permitido"
"CC 4",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Permitido"
"CC 5",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Permitido"
"CC6",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Permitido"
"AC 1",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Permitido"
"AC 2",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Permitido"
"AC 3",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Permitido"
"AC 4",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Permitido"
"PIU",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2",NULL
"EE",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2",NULL
"PI",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2",NULL
"PARQUE ACTIVO",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Remitirse a Ficha de Distrito"
"PARQUE PASIVO",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Prohibido"
"DSA SL",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Permitido"
"DSA AN1",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Prohibido"
"DSA AN2",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Remitirse a Ficha de Distrito"
"DSA Sur",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Prohibido"
"DSA Oeste",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Prohibido"
"RN",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Prohibido"
"PN",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Prohibido"
"FU",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2","Remitirse a Ficha de Distrito"
"NA",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2",NULL
"IUS",NULL,"Comercial","Minoristas en General","Micro Escala - 80 m2",NULL
"RM 1",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Permitido"
"RM 2",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Permitido"
"RM 3",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Permitido"
"RM 4",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Permitido"
"RM 5",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Permitido"
"CC 1",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Permitido"
"CC 2",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Permitido"
"CC 3",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Permitido"
"CC 4",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Permitido"
"CC 5",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Permitido"
"CC6",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Permitido"
"AC 1",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Permitido"
"AC 2",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Permitido"
"AC 3",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Permitido"
"AC 4",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Prohibido"
"PIU",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2",NULL
"EE",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2",NULL
"PI",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2",NULL
"PARQUE ACTIVO",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Prohibido"
"PARQUE PASIVO",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Prohibido"
"DSA SL",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Permitido"
"DSA AN1",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Permitido"
"DSA AN2",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Remitirse a Ficha de Distrito"
"DSA Sur",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Prohibido"
"DSA Oeste",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Permitido"
"RN",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Prohibido"
"PN",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Prohibido"
"FU",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2","Prohibido"
"NA",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2",NULL
"IUS",NULL,"Comercial","Minoristas en General","Pequeña Escala - 300 m2",NULL
"RM 1",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Condicionado"
"RM 2",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Permitido"
"RM 3",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Condicionado"
"RM 4",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Prohibido"
"RM 5",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Prohibido"
"CC 1",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Permitido"
"CC 2",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Condicionado"
"CC 3",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Permitido"
"CC 4",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Permitido"
"CC 5",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Remitirse a Ficha de Distrito"
"CC6",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Prohibido"
"AC 1",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Condicionado"
"AC 2",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Condicionado"
"AC 3",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Condicionado"
"AC 4",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Prohibido"
"PIU",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2",NULL
"EE",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2",NULL
"PI",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2",NULL
"PARQUE ACTIVO",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Prohibido"
"PARQUE PASIVO",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Prohibido"
"DSA SL",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Permitido"
"DSA AN1",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Permitido"
"DSA AN2",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Prohibido"
"DSA Sur",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Permitido"
"DSA Oeste",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Permitido"
"RN",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Prohibido"
"PN",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Prohibido"
"FU",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2","Prohibido"
"NA",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2",NULL
"IUS",NULL,"Comercial","Minoristas en General","Mediana Escala - 2500 m2",NULL
"RM 1",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Prohibido"
"RM 2",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Condicionado"
"RM 3",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Prohibido"
"RM 4",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Prohibido"
"RM 5",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Prohibido"
"CC 1",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Condicionado"
"CC 2",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Prohibido"
"CC 3",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Permitido"
"CC 4",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Remitirse a Ficha de Distrito"
"CC 5",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Prohibido"
"CC6",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Prohibido"
"AC 1",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Condicionado"
"AC 2",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Condicionado"
"AC 3",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Condicionado"
"AC 4",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Prohibido"
"PIU",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2",NULL
"EE",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2",NULL
"PI",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2",NULL
"PARQUE ACTIVO",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Prohibido"
"PARQUE PASIVO",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Prohibido"
"DSA SL",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Remitirse a Ficha de Distrito"
"DSA AN1",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Permitido"
"DSA AN2",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Prohibido"
"DSA Sur",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Remitirse a Ficha de Distrito"
"DSA Oeste",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Permitido"
"RN",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Prohibido"
"PN",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Prohibido"
"FU",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2","Prohibido"
"NA",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2",NULL
"IUS",NULL,"Comercial","Minoristas en General","Grandes Superficies Comerciales >2500 m2",NULL
"RM 1",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Permitido"
"RM 2",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Permitido"
"RM 3",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Permitido"
"RM 4",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Permitido"
"RM 5",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Permitido"
"CC 1",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Permitido"
"CC 2",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Permitido"
"CC 3",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Permitido"
"CC 4",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Permitido"
"CC 5",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Permitido"
"CC6",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Permitido"
"AC 1",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Permitido"
"AC 2",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Permitido"
"AC 3",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Permitido"
"AC 4",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Prohibido"
"PIU",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2",NULL
"EE",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2",NULL
"PI",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2",NULL
"PARQUE ACTIVO",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Prohibido"
"PARQUE PASIVO",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Prohibido"
"DSA SL",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Permitido"
"DSA AN1",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Prohibido"
"DSA AN2",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Prohibido"
"DSA Sur",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Prohibido"
"DSA Oeste",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Prohibido"
"RN",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Prohibido"
"PN",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Prohibido"
"FU",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2","Prohibido"
"NA",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2",NULL
"IUS",NULL,"Comercial","Mayoristas en General","Pequeña Escala - 300 m2",NULL
"RM 1",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Condicionado"
"RM 2",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Condicionado"
"RM 3",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Condicionado"
"RM 4",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Prohibido"
"RM 5",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Prohibido"
"CC 1",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Permitido"
"CC 2",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Prohibido"
"CC 3",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Permitido"
"CC 4",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Remitirse a Ficha de Distrito"
"CC 5",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Prohibido"
"CC6",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Permitido"
"AC 1",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Prohibido"
"AC 2",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Prohibido"
"AC 3",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Prohibido"
"AC 4",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Prohibido"
"PIU",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2",NULL
"EE",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2",NULL
"PI",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2",NULL
"PARQUE ACTIVO",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Prohibido"
"PARQUE PASIVO",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Prohibido"
"DSA SL",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Remitirse a Ficha de Distrito"
"DSA AN1",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Permitido"
"DSA AN2",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Prohibido"
"DSA Sur",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Remitirse a Ficha de Distrito"
"DSA Oeste",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Permitido"
"RN",NULL,"Comercial","Mayoristas en General","Mediana y Gran Escala - 2500 m2","Prohibido"
